Title,Rating,Video Link,Muscle Group,Equipment
Dumbbell Flyes,9.1,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-flyes,Chest,Dumbbell
Dumbbell Goblet Squat,8.9,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-goblet-squat,Quadriceps,Dumbbell
Dumbbell Incline Row,8.8,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-incline-row,Middle Back,Dumbbell
Dumbbell Lunges,8.8,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-lunges,Quadriceps,Dumbbell
Dumbbell Lying One-Arm Rear Lateral Raise,9,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-lying-one-arm-rear-lateral-raise,Shoulders,Dumbbell
Dumbbell Lying Pronation,8.8,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-lying-pronation,Forearms,Dumbbell
Dumbbell Lying Rear Lateral Raise,8.3,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-lying-rear-lateral-raise,Shoulders,Dumbbell
Dumbbell Lying Supination,8.9,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-lying-supination,Forearms,Dumbbell
Dumbbell One-Arm Shoulder Press,8.8,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-one-arm-shoulder-press,Shoulders,Dumbbell
Dumbbell One-Arm Triceps Extension,8.5,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-one-arm-triceps-extension,Triceps,Dumbbell
Dumbbell Raise,8.4,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-raise,Shoulders,Dumbbell
Dumbbell Rear Delt Row,8.7,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-rear-delt-row,Shoulders,Dumbbell
Dumbbell Rear Lunge,8.7,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-rear-lunge,Quadriceps,Dumbbell
Dumbbell Seated Box Jump,8.3,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-seated-box-jump,Quadriceps,Dumbbell
Dumbbell Shoulder Press,9,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-shoulder-press,Shoulders,Dumbbell
Dumbbell Shrug,8.7,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-shrug,Traps,Dumbbell
Dumbbell Side Bend,8.6,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-side-bend,Abdominals,Dumbbell
Dumbbell Squat,8.9,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-squat,Quadriceps,Dumbbell
Dumbbell Step Ups,8.2,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-step-ups,Quadriceps,Dumbbell
Dumbbell V-Sit Cross Jab,9.3,https://www.bodybuilding.com/exercises/detail/view/name/dumbbell-v-sit-cross-jab,Abdominals,Dumbbell
Elbow to Knee,9.1,https://www.bodybuilding.com/exercises/detail/view/name/elbow-to-knee,Abdominals,Body Only
Elevated Cable Rows,8.3,https://www.bodybuilding.com/exercises/detail/view/name/elevated-cable-rows,Lats,Cable
Elliptical Trainer,8.8,https://www.bodybuilding.com/exercises/detail/view/name/elliptical-trainer,Quadriceps,Machine
Exercise Ball Crunch,8.4,https://www.bodybuilding.com/exercises/detail/view/name/exercise-ball-crunch,Abdominals,Exercise Ball
Exercise Ball Pull-In,8.9,https://www.bodybuilding.com/exercises/detail/view/name/exercise-ball-pull-in,Abdominals,Exercise Ball
External Rotation,8.5,https://www.bodybuilding.com/exercises/detail/view/name/external-rotation,Shoulders,Dumbbell
External Rotation with Cable,8.7,https://www.bodybuilding.com/exercises/detail/view/name/external-rotation-with-cable,Shoulders,Cable
EZ-Bar Curl,9.1,https://www.bodybuilding.com/exercises/detail/view/name/ez-bar-curl,Biceps,E-Z Curl Bar
EZ-Bar Skullcrusher,9,https://www.bodybuilding.com/exercises/detail/view/name/ez-bar-skullcrusher,Triceps,E-Z Curl Bar
Face Pull,8.4,https://www.bodybuilding.com/exercises/detail/view/name/face-pull,Shoulders,Cable
Farmer's Walk,9.4,https://www.bodybuilding.com/exercises/detail/view/name/farmers-walk,Forearms,Other
Finger Curls,9.3,https://www.bodybuilding.com/exercises/detail/view/name/finger-curls,Forearms,Barbell
Flat Bench Lying Leg Raise,8.4,https://www.bodybuilding.com/exercises/detail/view/name/flat-bench-lying-leg-raise,Abdominals,Body Only
Flexor Incline Dumbbell Curls,9,https://www.bodybuilding.com/exercises/detail/view/name/flexor-incline-dumbbell-curls,Biceps,Dumbbell
Floor Glute-Ham Raise,9.1,https://www.bodybuilding.com/exercises/detail/view/name/floor-glute-ham-raise,Hamstrings,None
Floor Press,8.3,https://www.bodybuilding.com/exercises/detail/view/name/floor-press,Triceps,Barbell
